,Site Code,Site Name,Voltage (kV),Region
0,ABED,ABERARDER ONSHORE WIND FARM,33,shet
1,ABED,ABERARDER ONSHORE WIND FARM,132,shet
2,ABBA,ABERDEEN BAY WINDFARM,132,shet
3,ABNE,ABERNETHY,33,shet
4,ABNE,ABERNETHY,132,shet
5,ACHN,ACHANY ,132,shet
6,ACHR,A-CHRUACH WINDFARM,33,shet
7,ACHR,A-CHRUACH WINDFARM,132,shet
8,ACHR,A-CHRUACH WINDFARM,275,shet
9,AIGA,AIGAS HYDRO,132,shet
10,ALCE,ALCEMI SCORE BATTERY ENERGY STORAGE ,400,shet
11,ALNE,ALNESS GSP,33,shet
12,ALNE,ALNESS GSP,132,shet
13,ALTN,ALTNABREAC,33,shet
14,ALTN,ALTNABREAC,132,shet
15,ALYT,ALYTH,33,shet
16,ALYT,ALYTH,275,shet
17,ALYT,ALYTH,400,shet
18,AMUL,AMULREE,132,shet
19,ANSU,AN SUIDHE,33,shet
20,ANSU,AN SUIDHE,132,shet
21,ANSU,AN SUIDHE,275,shet
22,ARBR,ARBROATH,33,shet
23,ARBR,ARBROATH,132,shet
24,ARDK,ARDKINGLAS WIND,33,shet
25,ARDK,ARDKINGLAS WIND,132,shet
26,ARMO,ARDMORE,33,shet
27,ARMO,ARDMORE,132,shet
28,ARMA,ARMADALE	,33,shet
29,ARMA,ARMADALE	,132,shet
30,ARNI,ARNISH SUBSTATION,33,shet
31,ARNI,ARNISH SUBSTATION,132,shet
32,BAGP,BAILLIE GREENER GRID PARK,275,shet
33,BEAT,BEATRICE SUBSTATION,400,shet
34,BEAU,BEAULY,33,shet
35,BEAU,BEAULY,132,shet
36,BEAU,BEAULY,275,shet
37,BEAU,BEAULY,400,shet
38,BEWF,Beaw Field,33,shet
39,BEWF,Beaw Field,132,shet
40,BETH,BEINN THARSUINN WIND,33,shet
41,BETH,BEINN THARSUINN WIND,132,shet
42,BEIN,BEINNEUN WIND FARM,33,shet
43,BEIN,BEINNEUN WIND FARM,132,shet
44,BERB,BERRY BURN,33,shet
45,BERB,BERRY BURN,275,shet
46,BLEX,BHLARAIDH EXTENSION,33,shet
47,BLEX,BHLARAIDH EXTENSION,132,shet
48,BHLA,BHLARAIDH WIND FARM,33,shet
49,BHLA,BHLARAIDH WIND FARM,132,shet
50,BIHI,BIRKHILL,132,shet
51,BLHI,BLACKHILLOCK,33,shet
52,BLHI,BLACKHILLOCK,132,shet
53,BLHI,BLACKHILLOCK,275,shet
54,BLHI,BLACKHILLOCK,400,shet
55,BLHS,BLACKHILLOCK SOUTH,275,shet
56,BLGH,BLARGHOUR,33,shet
57,BLGH,BLARGHOUR,132,shet
58,BOAG,BOAT OF GARTEN,33,shet
59,BOAG,BOAT OF GARTEN,132,shet
60,BRCW,BRACO WEST,33,shet
61,BRCW,BRACO WEST,132,shet
62,BRCW,BRACO WEST,275,shet
63,BRCW,BRACO WEST,400,shet
64,BREC,BRECHIN,132,shet
65,BRID,BRIDGE OF DUN,33,shet
66,BRID,BRIDGE OF DUN,132,shet
67,BROA,BROADFORD,33,shet
68,BROA,BROADFORD,132,shet
69,BROR,BRORA,33,shet
70,BROR,BRORA,132,shet
71,BROR,BRORA,400,shet
72,BUMU,BURGHMUIR,33,shet
73,BUMU,BURGHMUIR,132,shet
74,CAID,Cairn Duhie Wind Farm,33,shet
75,CAID,Cairn Duhie Wind Farm,275,shet
76,CAIN,CAIRNFORD,33,shet
77,CAIN,CAIRNFORD,275,shet
78,CAAD,CARRADALE,33,shet
79,CAAD,CARRADALE,132,shet
80,CASS,CASSLEY,33,shet
81,CASS,CASSLEY,132,shet
82,CEAN,CEANNACROC,33,shet
83,CEAN,CEANNACROC,132,shet
84,CHAR,CHARLESTON,33,shet
85,CHAR,CHARLESTON,132,shet
86,CHLE,CHLEANSAID ,33,shet
87,CHLE,CHLEANSAID ,132,shet
88,CLAC,CLACHAN,33,shet
89,CLAC,CLACHAN,132,shet
90,CLGO,Clash Gour Wind Farm,33,shet
91,CLGO,Clash Gour Wind Farm,132,shet
92,CLGO,Clash Gour Wind Farm,275,shet
93,CLSO,CLASHINDARROCH WIND EXTENSION,33,shet
94,CLSO,CLASHINDARROCH WIND EXTENSION,132,shet
95,CLAY,CLAYHILLS,33,shet
96,CLAY,CLAYHILLS,132,shet
97,CLOI,CLOICHE WIND FARM,33,shet
98,CLOI,CLOICHE WIND FARM,132,shet
99,CLUN,CLUNIE,132,shet
100,CNBH,CNOC BUIDHE,33,shet
101,CNBH,CNOC BUIDHE,132,shet
102,COGL,COIRE GLAS PUMPED STORAGE,400,shet
103,CONN,CONNAGILL,33,shet
104,CONN,CONNAGILL,132,shet
105,CONN,CONNAGILL,275,shet
106,COGA,CORRIEGARTH WIND FARM,33,shet
107,COGA,CORRIEGARTH WIND FARM,132,shet
108,CORI,CORRIEMOILLIE,33,shet
109,CORI,CORRIEMOILLIE,132,shet
110,COST,Costa Head,33,shet
111,COUA,COUPAR ANGUS,33,shet
112,COUA,COUPAR ANGUS,132,shet
113,COUW,COUR WIND FARM,33,shet
114,CRAI,CRAIGIEBUCKLER,33,shet
115,CRAI,CRAIGIEBUCKLER,132,shet
116,CRDH,CREAG DHUBH,33,shet
117,CRDH,CREAG DHUBH,132,shet
118,CRDH,CREAG DHUBH,275,shet
119,CREA,CREAG RIABHACH WINDFARM,33,shet
120,CREA,CREAG RIABHACH WINDFARM,132,shet
121,CRSS,CROSSAIG,33,shet
122,CRSS,CROSSAIG,132,shet
123,CRSS,CROSSAIG,220,shet
124,CRSS,CROSSAIG,275,shet
125,CULL,CULLIGRAN,132,shet
126,CYGN,CYGNUS OFFSHORE WINDFARM WIND,400,shet
127,DLCH,DALCHORK,132,shet
128,DAAS,DALLAS SUBSTATION,33,shet
129,DAAS,DALLAS SUBSTATION,275,shet
130,DALB,DALMALLY BORDER NODE	,275,shet
131,DEAN,DEANIE,132,shet
132,DELL,DELL,33,shet
133,DELL,DELL,132,shet
134,DENS,DENSIDE,132,shet
135,DORE,DORENELL WIND FARM,33,shet
136,DORE,DORENELL WIND FARM,132,shet
137,DOUN,DOUNREAY,33,shet
138,DOUN,DOUNREAY,132,shet
139,DOUN,DOUNREAY,220,shet
140,DOUN,DOUNREAY,275,shet
141,DOUN,DOUNREAY,400,shet
142,DRUL,DRUIM LETHANN WIND FARM,33,shet
143,DRUL,DRUIM LETHANN WIND FARM,132,shet
144,DUDH,DUDHOPE,33,shet
145,DUDH,DUDHOPE,132,shet
146,DUBE,DUNBEATH,33,shet
147,DUBE,DUNBEATH,132,shet
148,DUBE,DUNBEATH,400,shet
149,DUNM,DUNMAGLASS,33,shet
150,DUNM,DUNMAGLASS,132,shet
151,DUCC,DUNMORE CABLE COMPOUND,132,shet
152,DUNO,DUNOON,33,shet
153,DUNO,DUNOON,132,shet
154,DUGR,DUNVEGAN GRID,33,shet
155,DUGR,DUNVEGAN GRID,132,shet
156,DYCE,DYCE,33,shet
157,DYCE,DYCE,132,shet
158,EARR,EARRAGHAIL,275,shet
159,EARR,EARRAGHAIL RED WIND,33,shet
160,EDIN,EDINBANE 132/33KV,33,shet
161,EDIN,EDINBANE 132/33KV,132,shet
162,ELCH,Elchies,33,shet
163,ELCH,Elchies,132,shet
164,ELGI,ELGIN,33,shet
165,ELGI,ELGIN,132,shet
166,ENEI,ENERGY ISLES WIND FARM,33,shet
167,ENEI,ENERGY ISLES WIND FARM,132,shet
168,EOLF,EOLFI OFFSHORE WIND,400,shet
169,ERRO,ERROCHTY,132,shet
170,FARI,FARIGAIG,33,shet
171,FARI,FARIGAIG,132,shet
172,FARI,FARIGAIG,275,shet
173,FAAR,FARR WINDFARM,33,shet
174,FAAR,FARR WINDFARM,132,shet
175,FASN,FASNAKYLE,33,shet
176,FASN,FASNAKYLE,132,shet
177,FASN,FASNAKYLE,275,shet
178,FASN,FASNAKYLE,400,shet
179,FASQ,FASQUE	,33,shet
180,FASQ,FASQUE	,132,shet
181,FERO,FERNOCH WIND,33,shet
182,FERO,FERNOCH WIND,132,shet
183,FETT,FETTERESSO,33,shet
184,FETT,FETTERESSO,132,shet
185,FETT,FETTERESSO,275,shet
186,FETT,FETTERESSO,400,shet
187,FIDD,FIDDES,33,shet
188,FIDD,FIDDES,132,shet
189,FINL,FINLARIG,132,shet
190,FOFO,FIRTH OF FORTH ONSHORE,275,shet
191,FOGG,FOGGIETON,132,shet
192,FAUG,FORT AUGUSTUS,33,shet
193,FAUG,FORT AUGUSTUS,132,shet
194,FAUG,FORT AUGUSTUS,275,shet
195,FAUG,FORT AUGUSTUS,400,shet
196,FWIL,FORT WILLIAM,33,shet
197,FWIL,FORT WILLIAM,132,shet
198,FOYE,FOYERS,275,shet
199,FRAS,FRASERBURGH,33,shet
200,FRAS,FRASERBURGH,132,shet
201,FYRI,FYRISH,33,shet
202,FYRI,FYRISH,132,shet
203,FYRI,FYRISH,275,shet
204,GILB,GILLS BAY SUBSTATION,132,shet
205,GLKO,GLEN KYLLACHY WIND FARM - ONSHORE,33,shet
206,GLKO,GLEN KYLLACHY WIND FARM - ONSHORE,132,shet
207,GLUE,GLEN ULLINISH EXTENSION,33,shet
208,GLUE,GLEN ULLINISH EXTENSION,132,shet
209,GLNU,GLEN ULLINISH WINDFARM,33,shet
210,GLNU,GLEN ULLINISH WINDFARM,132,shet
211,GLAG,GLENAGNES,132,shet
212,GLDO,GLENDOE SUBSTATION,132,shet
213,GLDY,GLENDYE,33,shet
214,GLDY,GLENDYE,132,shet
215,GLFA,GLENFARCLAS,33,shet
216,GLFA,GLENFARCLAS,132,shet
217,GLEN,GLENMORISTON,132,shet
218,GLSH,GLENSHERO WINDFARM,33,shet
219,GLSH,GLENSHERO WINDFARM,132,shet
220,GORW,GORDONBUSH WINDFARM,33,shet
221,GORW,GORDONBUSH WINDFARM,275,shet
222,GREM,GREMISTA,33,shet
223,GREM,GREMISTA,132,shet
224,GRIF,GRIFFIN WINDFARM (SSE),33,shet
225,GRIF,GRIFFIN WINDFARM (SSE),132,shet
226,GRUB,GRUDIE BRIDGE,33,shet
227,GRUB,GRUDIE BRIDGE,132,shet
228,HEST,Hesta Head,33,shet
229,HICL,High Constellation,33,shet
230,HICL,High Constellation,132,shet
231,HOME,HOLLANDMEY,33,shet
232,HOME,HOLLANDMEY,132,shet
233,INVE,INVERARAY,132,shet
234,INVR,INVERARNAN,33,shet
235,INVR,INVERARNAN,132,shet
236,INGA,INVERGARRY,33,shet
237,INGA,INVERGARRY,132,shet
238,INGA,INVERGARRY,400,shet
239,INNE,INVERNESS,33,shet
240,INNE,INVERNESS,132,shet
241,INRU,INVERUGIE,132,shet
242,KEIT,KEITH,33,shet
243,KEIT,KEITH,132,shet
244,KEIT,KEITH,275,shet
245,KERG,KERGORD,132,shet
246,KIIN,KILLIN,33,shet
247,KIIN,KILLIN,132,shet
248,KILC,KILLIN CASCADE GROUP,132,shet
249,KIOR,KILMORACK,132,shet
250,KINA,KINARDOCHY,275,shet
251,KINA,KINARDOCHY,400,shet
252,KINB,KINCARDINE BOUNDARY	,275,shet
253,KINB,KINCARDINE BOUNDARY	,400,shet
254,KILO,KINLOCHLEVEN,33,shet
255,KILO,KINLOCHLEVEN,132,shet
256,KINM,KINMUCK,275,shet
257,KINT,KINTORE,33,shet
258,KINT,KINTORE,132,shet
259,KINT,KINTORE,275,shet
260,KINT,KINTORE,400,shet
261,KTDL,KINTRADWELL,33,shet
262,KTDL,KINTRADWELL,132,shet
263,KTDL,KINTRADWELL,400,shet
264,KRKN,KIRKTON,132,shet
265,KRKN,KIRKTON ,33,shet
266,KNOC,KNOCKNAGAEL,33,shet
267,KNOC,KNOCKNAGAEL,132,shet
268,KNOC,KNOCKNAGAEL,275,shet
269,LAGG,LAGGAN,132,shet
270,LAIR,LAIRG,33,shet
271,LAIR,LAIRG,132,shet
272,LIMK,LIMEKILNS WINDFARM,33,shet
273,LIMK,LIMEKILNS WINDFARM,132,shet
274,LOCB,LOCH BUIDHE,33,shet
275,LOCB,LOCH BUIDHE,132,shet
276,LOCB,LOCH BUIDHE,275,shet
277,LOCB,LOCH BUIDHE,400,shet
278,LKEM,LOCH KEMP PUMPED STORAGE,275,shet
279,LOCL,LOCH LUNDIE,132,shet
280,LOCH,LOCHAY,132,shet
281,LUIC,LUICHART,132,shet
282,LUMB,LUMBS,132,shet
283,LUNA,LUNANHEAD,33,shet
284,LUNA,LUNANHEAD,132,shet
285,LUND,LUNDAVRA,132,shet
286,LYND,LYNDHURST,33,shet
287,LYND,LYNDHURST,132,shet
288,MACD,MACDUFF,33,shet
289,MACD,MACDUFF,132,shet
290,MELG,MELGARVE SUBSTATION,33,shet
291,MELG,MELGARVE SUBSTATION,132,shet
292,MELG,MELGARVE SUBSTATION,400,shet
293,MELV,MELVICH,33,shet
294,MELV,MELVICH,132,shet
295,MILW,MILLENIUM WIND,33,shet
296,MILW,MILLENIUM WIND,132,shet
297,MILS,MILLENNIUM SOUTH WINDFARM,33,shet
298,MILS,MILLENNIUM SOUTH WINDFARM,132,shet
299,MILC,MILTON OF CRAIGIE,33,shet
300,MILC,MILTON OF CRAIGIE,132,shet
301,MORF,MORAY EAST ONSHORE SUBSTATION,275,shet
302,MORF,MORAY EAST ONSHORE SUBSTATION,400,shet
303,MOSS,MOSSFORD,132,shet
304,MSHL,MOSSY HILL,33,shet
305,MSHL,MOSSY HILL,132,shet
306,MOTA,MOULTAIVE,132,shet
307,MUAI,MUAITHEBHEAL WIND FARM,33,shet
308,MUAI,MUAITHEBHEAL WIND FARM,132,shet
309,MYBS,MYBSTER,33,shet
310,MYBS,MYBSTER,132,shet
311,NAIR,NAIRN,33,shet
312,NAIR,NAIRN,132,shet
313,NANT,NANT (LOCH NANT),132,shet
314,NEDE,NEW DEER,275,shet
315,NEDE,NEW DEER,400,shet
316,NWGL,NORTH CONNECT (NORWEGIAN LINK 2),400,shet
317,NEOF,NORTH EAST OFFSHORE WIND,400,shet
318,NPIC,NPI C OFFSHORE WIND,132,shet
319,OFPH,OFFSHORE PROJECT H,275,shet
320,OFPN,OFFSHORE PROJECT N,400,shet
321,FINS,Orkney Finstown,33,shet
322,FINS,Orkney Finstown,132,shet
323,FINS,Orkney Finstown,220,shet
324,ORRI,ORRIN,33,shet
325,ORRI,ORRIN,132,shet
326,OWFD,OWF-100,66,shet
327,OWFD,OWF-100,132,shet
328,PERS,PERSLEY,33,shet
329,PERS,PERSLEY,132,shet
330,PERS,PERSLEY,275,shet
331,PEHE,PETERHEAD,33,shet
332,PEHE,PETERHEAD,132,shet
333,PEHE,PETERHEAD,275,shet
334,PEHE,PETERHEAD,400,shet
335,PEHG,PETERHEAD GRANGE,33,shet
336,PEHG,PETERHEAD GRANGE,132,shet
337,PORA,PORT ANN,33,shet
338,PORA,PORT ANN,132,shet
339,PORA,PORT ANN,275,shet
340,QUOI,QUOICH,132,shet
341,RANN,RANNOCH,33,shet
342,RANN,RANNOCH,132,shet
343,REJO,RED JOHN PSH STORAGE,275,shet
344,REDM,REDMOSS,33,shet
345,REDM,REDMOSS,132,shet
346,ROTI,ROTHIENORMAN,33,shet
347,ROTI,ROTHIENORMAN,132,shet
348,ROTI,ROTHIENORMAN,275,shet
349,ROTI,ROTHIENORMAN,400,shet
350,SALM,SALAMANDER OFFSHORE WIND FARM,132,shet
351,SALA,SALLACHY WIND FARM,33,shet
352,SALA,SALLACHY WIND FARM,132,shet
353,SHDM,SHEIRDRIM,33,shet
354,SHDM,SHEIRDRIM,132,shet
355,SHIN,SHIN,33,shet
356,SHIN,SHIN,132,shet
357,SHIN,SHIN,400,shet
358,SKCB,SKIPNESS AND CORRANBUIE,33,shet
359,SKCB,SKIPNESS AND CORRANBUIE,275,shet
360,SLKB,Slackbuie,132,shet
361,SLCK,SLICKLY WIND FARM,33,shet
362,SLCK,SLICKLY WIND FARM,132,shet
363,SLOY,SLOY,132,shet
364,YELL,SOUTH YELL SWITCHING STATION,132,shet
365,SPIT,SPITTAL,33,shet
366,SPIT,SPITTAL,132,shet
367,SPIT,SPITTAL,275,shet
368,SPIT,SPITTAL,400,shet
369,SSEO,SSE OFFSHORE 2 WIND,400,shet
370,SFER,ST FERGUS,132,shet
371,SFEG,ST FERGUS GAS TERMINAL,132,shet
372,SFEM,ST FERGUS MOBIL,132,shet
373,SFIL,ST FILLANS,132,shet
374,STWN,STORNOWAY WIND,33,shet
375,STWN,STORNOWAY WIND,132,shet
376,STRB,STRATH BRORA WIND,33,shet
377,STRB,STRATH BRORA WIND,275,shet
378,STRW,STRATHY WIND,33,shet
379,STRW,STRATHY WIND,132,shet
380,STRI,STRICHEN,33,shet
381,STRI,STRICHEN,132,shet
382,STRL,STRONELAIRG WIND FARM (SSE),33,shet
383,STRL,STRONELAIRG WIND FARM (SSE),132,shet
384,TNGF,TANGY IV	,33,shet
385,TNGF,TANGY IV	,132,shet
386,TARL,TARLAND,33,shet
387,TARL,TARLAND,132,shet
388,TAYN,TAYNUILT,33,shet
389,TAYN,TAYNUILT,132,shet
390,TEAL,TEALING,33,shet
391,TEAL,TEALING,132,shet
392,TEAL,TEALING,275,shet
393,TEAL,TEALING,400,shet
394,TEAS,TEALING STORAGE,33,shet
395,TEAS,TEALING STORAGE,132,shet
396,TEIN,TEINDLAND WIND FARM,33,shet
397,TEIN,TEINDLAND WIND FARM,132,shet
398,THUS,THURSO SOUTH,33,shet
399,THUS,THURSO SOUTH,132,shet
400,THUS,THURSO SOUTH,275,shet
401,TOMT,TOMATIN,33,shet
402,TOMT,TOMATIN,132,shet
403,TOMT,TOMATIN,275,shet
404,TUMM,TUMMEL,33,shet
405,TUMM,TUMMEL,132,shet
406,TUMM,TUMMEL,275,shet
407,TUMM,TUMMEL,400,shet
408,TUMB,TUMMEL BRIDGE,132,shet
409,VIKE,VIKING ENERGY WIND FARM,33,shet
410,WOKN,WEST OF ORKNEY,275,shet
411,WHRL,WHIRLWIND OFFSHORE WIND FARM WIND,400,shet
412,WHIB,WHITE BRIDGE,132,shet
413,WIOW,WILLOWDALE,33,shet
414,WIOW,WILLOWDALE,132,shet
415,WOHI,WOODHILL,33,shet
416,WOHI,WOODHILL,132,shet
417,AIKE,AIKENGALL,33,spt_
418,ANDE,ANDERSHAW,33,spt_
419,AREC,ARECLEOCH,132,spt_
420,AREC,ARECLEOCH,33,spt_
421,AREX,ARECLEOCH EXTENSION,132,spt_
422,AREX,ARECLEOCH EXTENSION,33,spt_
423,ARFO,ARTFIELD FOREST WF,33,spt_
424,ASVA,ASSEL VALLEY,33,spt_
425,AUCH,AUCHENCROSH,275,spt_
426,AUCW,AUCHENWYND,132,spt_
427,AYR-,AYR,275,spt_
428,AYR-,AYR,33,spt_
429,AYRS,AYRSHIRE GRID COLLECTOR,400,spt_
430,BAGA,BATHGATE,132,spt_
431,BAGA,BATHGATE,33,spt_
432,BAIN,BAINSFORD,132,spt_
433,BAIN,BAINSFORD,33,spt_
434,BENB,BENBRACK WIND FARM,132,spt_
435,BENB,BENBRACK WIND FARM,33,spt_
436,BERW,BERWICK,132,spt_
437,BERW,BERWICK,33,spt_
438,BLAH,BLACKHILL,132,spt_
439,BLAH,BLACKHILL,33,spt_
440,BLCW,BLACKCRAIG,132,spt_
441,BLCW,BLACKCRAIG,33,spt_
442,BLKL,BLACKLAW,132,spt_
443,BLKL,BLACKLAW,33,spt_
444,BLKS,BLACKCRAIG SOUTH,33,spt_
445,BLLX,BLACKLAW EXTENSION,132,spt_
446,BLLX,BLACKLAW EXTENSION,33,spt_
447,BONB,BONNYBRIDGE BORDER NODE,400,spt_
448,BONB,BONNYBRIDGE BORDER NODE,275,spt_
449,BONN,BONNYBRIDGE,400,spt_
450,BONN,BONNYBRIDGE,275,spt_
451,BONN,BONNYBRIDGE,132,spt_
452,BONN,BONNYBRIDGE,33,spt_
453,BPGR,BP GRANGEMOUTH,33,spt_
454,BRAP,BRAEHEAD PARK,132,spt_
455,BRAP,BRAEHEAD PARK,33,spt_
456,BREE,BREEZY HILL,132,spt_
457,BRNX,BRANXTON,400,spt_
458,BROC,BROKEN CROSS,132,spt_
459,BROC,BROKEN CROSS,33,spt_
460,BROX,BROXBURN,132,spt_
461,BROX,BROXBURN,33,spt_
462,BUSB,BUSBY,275,spt_
463,CAFA,CARSFAD,132,spt_
464,CAFA,CARSFAD,11,spt_
465,CALD,CALDER WATER,33,spt_
466,CATY,CARNTYNE,132,spt_
467,CATY,CARNTYNE,33,spt_
468,CCSS,CUMBERHEAD COLLECTOR,132,spt_
469,CCSS,CUMBERHEAD COLLECTOR,33,spt_
470,CHAP,CHAPELCROSS,132,spt_
471,CHAP,CHAPELCROSS,33,spt_
472,CHAS,CHARLOTTE STREET,275,spt_
473,CHAS,CHARLOTTE STREET,33,spt_
474,CHMO,CHIRMORIE,132,spt_
475,CHMO,CHIRMORIE,33,spt_
476,CLAU,CLAUCHRIE,132,spt_
477,CLAU,CLAUCHRIE,33,spt_
478,CLFO,CLOICH FOREST,132,spt_
479,CLFO,CLOICH FOREST,33,spt_
480,CLYM,CLYDE'S MILL,400,spt_
481,CLYM,CLYDE'S MILL,275,spt_
482,CLYM,CLYDE'S MILL,33,spt_
483,CLYN,CLYDE NORTH,275,spt_
484,CLYN,CLYDE NORTH,33,spt_
485,CLYS,CLYDE SOUTH,275,spt_
486,CLYS,CLYDE SOUTH,33,spt_
487,COAB,COALBURN BATTERY STORAGE FACILITY,400,spt_
488,COAB,COALBURN BATTERY STORAGE FACILITY,33,spt_
489,COAL,COALBURN,400,spt_
490,COAL,COALBURN,132,spt_
491,COAL,COALBURN,33,spt_
492,COAN,COALBURN NORTH,400,spt_
493,COAT,COATBRIDGE,275,spt_
494,COAT,COATBRIDGE,33,spt_
495,COCK,COCKENZIE,400,spt_
496,COCK,COCKENZIE,275,spt_
497,COCK,COCKENZIE,33,spt_
498,COUS,COUSLAND,400,spt_
499,COYL,COYLTON,275,spt_
500,COYL,COYLTON,132,spt_
501,COYL,COYLTON,33,spt_
502,COYT,COYLTON TEE,132,spt_
503,COYW,COYLTON WEST,275,spt_
504,CRCK,CARRICK,275,spt_
505,CRCK,CARRICK,33,spt_
506,CRDY,CROSSDYKES,33,spt_
507,CROE,CROOKEDSTANE,33,spt_
508,CROO,CROOKSTON,132,spt_
509,CROO,CROOKSTON,33,spt_
510,CRUA,CRUACHAN,275,spt_
511,CRYR,CRYSTAL RIG,400,spt_
512,CRYR,CRYSTAL RIG,132,spt_
513,CRYR,CRYSTAL RIG,33,spt_
514,CULR,CULROSS,400,spt_
515,CULR,CULROSS,275,spt_
516,CUMB,CUMBERNAULD,132,spt_
517,CUMB,CUMBERNAULD,33,spt_
518,CUMH,CUMBERHEAD WF SUBSTATION,33,spt_
519,CUMW,CUMBERHEAD WEST,132,spt_
520,CUMW,CUMBERHEAD WEST,33,spt_
521,CUPA,CUPAR,132,spt_
522,CUPA,CUPAR,33,spt_
523,CURR,CURRIE,400,spt_
524,CURR,CURRIE,275,spt_
525,CURR,CURRIE,132,spt_
526,CURR,CURRIE,33,spt_
527,CURR,CURRIE,11,spt_
528,DAER,DAER WINDFARM,132,spt_
529,DAER,DAER WINDFARM,33,spt_
530,DALB,DALMALLY BORDER NODE,275,spt_
531,DALL,DALMALLY,275,spt_
532,DALM,DALMARNOCK,275,spt_
533,DALM,DALMARNOCK,132,spt_
534,DALM,DALMARNOCK,33,spt_
535,DALQ,DALQUHANDY,33,spt_
536,DALS,DALSWINTON,33,spt_
537,DENN,DENNY NORTH,400,spt_
538,DENN,DENNY NORTH,275,spt_
539,DENN,DENNY NORTH,132,spt_
540,DENN,DENNY NORTH,33,spt_
541,DESA,DERSALLOCH,132,spt_
542,DESA,DERSALLOCH,33,spt_
543,DEVM,DEVOL MOOR,400,spt_
544,DEVM,DEVOL MOOR,132,spt_
545,DEVM,DEVOL MOOR,33,spt_
546,DEVO,DEVONSIDE,132,spt_
547,DEVO,DEVONSIDE,33,spt_
548,DEWP,DEWAR PLACE,275,spt_
549,DEWP,DEWAR PLACE,33,spt_
550,DONO,DOUGLAS NORTH COLLECTOR,132,spt_
551,DONO,DOUGLAS NORTH COLLECTOR,33,spt_
552,DOWE,DOUGLAS WEST,33,spt_
553,DRCR,DRUMCROSS,132,spt_
554,DRCR,DRUMCROSS,33,spt_
555,DRUM,DRUMCHAPEL,275,spt_
556,DRUM,DRUMCHAPEL,33,spt_
557,DUMF,DUMFRIES,132,spt_
558,DUMF,DUMFRIES,33,spt_
559,DUNB,DUNBAR,132,spt_
560,DUNB,DUNBAR,33,spt_
