,Site Code,Site Name,Voltage (kV),Region
561,DUNE,DUNLAW EXTENSION,132,spt_
562,DUNE,DUNLAW EXTENSION,33,spt_
563,DUNF,DUNFERMLINE,132,spt_
564,DUNF,DUNFERMLINE,33,spt_
565,DUNH,DUNHILL,132,spt_
566,DUNH,DUNHILL,33,spt_
567,DWEX,DOUGLAS WEST EXTENSION,33,spt_
568,EARB,EARLSBURN,33,spt_
569,EAST,EARLSTOUN,132,spt_
570,EAST,EARLSTOUN,11,spt_
571,ECCF,ECCLEFECHAN,132,spt_
572,ECCL,ECCLES,400,spt_
573,ECCL,ECCLES,132,spt_
574,ECCL,ECCLES,33,spt_
575,EERH,EASTERHOUSE,275,spt_
576,EERH,EASTERHOUSE,33,spt_
577,EKIL,EAST KILBRIDE,275,spt_
578,EKIL,EAST KILBRIDE,33,spt_
579,EKIS,EAST KILBRIDE SOUTH,275,spt_
580,EKIS,EAST KILBRIDE SOUTH,33,spt_
581,ELDE,ELDERSLIE,132,spt_
582,ELDE,ELDERSLIE,33,spt_
583,ELVA,ELVANFOOT,400,spt_
584,ELVA,ELVANFOOT,275,spt_
585,ELVA,ELVANFOOT,132,spt_
586,ELVA,ELVANFOOT,33,spt_
587,ELVN,ELVANFOOT NORTH 400KV,400,spt_
588,ENHI,ENOCH HILL WIND FARM,132,spt_
589,ENHI,ENOCH HILL WIND FARM,33,spt_
590,ERSK,ERSKINE,132,spt_
591,ERSK,ERSKINE,33,spt_
592,ESST,ESSENSIDE,132,spt_
593,EUCH,EUCHANHEAD,132,spt_
594,EUCH,EUCHANHEAD,33,spt_
595,EWEH,EWE HILL,132,spt_
596,EWEH,EWE HILL,33,spt_
597,EXON,EXXON MOBIL,33,spt_
598,FALL,FALLAGO,400,spt_
599,FALL,FALLAGO,33,spt_
600,FASI,FAW SIDE,132,spt_
601,FELL,FELL WIND FARM,132,spt_
602,FELL,FELL WIND FARM,33,spt_
603,FIGS,FIFE GRID SERVICES,275,spt_
604,FINN,FINNIESTON,132,spt_
605,FINN,FINNIESTON,33,spt_
606,GALA,GALASHIELS,132,spt_
607,GALA,GALASHIELS,33,spt_
608,GALN,GALA NORTH,400,spt_
609,GALN,GALA NORTH,132,spt_
610,GARB,GARELOCH BOUNDARY,132,spt_
611,GARE,GARELOCH,132,spt_
612,GAWH,GALAWHISTLE,132,spt_
613,GAWH,GALAWHISTLE,33,spt_
614,GBRN,GREENBURN,132,spt_
615,GHPS,GLENMUCKLOCH HYDRO PUMPED STORAGE,400,spt_
616,GHPS,GLENMUCKLOCH HYDRO PUMPED STORAGE,132,spt_
617,GHPS,GLENMUCKLOCH HYDRO PUMPED STORAGE,33,spt_
618,GIFF,GIFFNOCK,275,spt_
619,GIFF,GIFFNOCK,33,spt_
620,GLAP,GLEN APP,33,spt_
621,GLGL,GLENGLASS,132,spt_
622,GLGL,GLENGLASS,33,spt_
623,GLLE,GLENLEE,132,spt_
624,GLLE,GLENLEE,11,spt_
625,GLLU,GLENLUCE,132,spt_
626,GLLU,GLENLUCE,33,spt_
627,GLMU,GLENMUCKLOCH,33,spt_
628,GLNI,GLENNISTON,132,spt_
629,GLNI,GLENNISTON,33,spt_
630,GLRB,GLENROTHES BOUNDARY,400,spt_
631,GLRB,GLENROTHES BOUNDARY,275,spt_
632,GLRO,GLENROTHES,400,spt_
633,GLRO,GLENROTHES,275,spt_
634,GLRO,GLENROTHES,33,spt_
635,GLTA,GLENTAGGART WIND FARM,33,spt_
636,GNSH,GLENSHIMMEROCH,132,spt_
637,GNSH,GLENSHIMMEROCH,33,spt_
638,GORG,GORGIE,132,spt_
639,GORG,GORGIE,33,spt_
640,GOVA,GOVAN,132,spt_
641,GOVA,GOVAN,33,spt_
642,GRGR,GREENGAIRS WIND FARM,33,spt_
643,GRMO,GRANGEMOUTH,275,spt_
644,GRMO,GRANGEMOUTH,33,spt_
645,GRNA,GRETNA,400,spt_
646,GRNA,GRETNA,132,spt_
647,GRNA,GRETNA,33,spt_
648,HADH,HADYARD HILL,132,spt_
649,HADH,HADYARD HILL,33,spt_
650,HAGH,HAGSHAW HILL PHASE 2,33,spt_
651,HAGR,HAGGS ROAD,132,spt_
652,HAGR,HAGGS ROAD,33,spt_
653,HAHA,HAGSHAW HILL PHASE 1,33,spt_
654,HAKB,HARKER BORDER NODE,400,spt_
655,HAKB,HARKER BORDER NODE,132,spt_
656,HARB,HARBURN,400,spt_
657,HARE,HARESTANES,132,spt_
658,HARE,HARESTANES,33,spt_
659,HARH,HARBURN HEAD,33,spt_
660,HARR,HARTING RIG WIND FARM,33,spt_
661,HAWI,HAWICK,132,spt_
662,HAWI,HAWICK,33,spt_
663,HELE,HELENSBURGH,132,spt_
664,HELE,HELENSBURGH,33,spt_
665,HLND,HEATHLAND,400,spt_
666,HLND,HEATHLAND,132,spt_
667,HLND,HEATHLAND,33,spt_
668,HOLM,HOLM HILL,132,spt_
669,HORI,HOPSRIG COLLECTOR,132,spt_
670,HORI,HOPSRIG COLLECTOR,33,spt_
671,HRCR,HARE CRAIG,33,spt_
672,HUCR,HUNTERSTON CRYOBATTERY,400,spt_
673,HUCS,HUNTERSTON CONVERTER STATION,400,spt_
674,HUER,HUNTERSTON,400,spt_
675,HUER,HUNTERSTON,132,spt_
676,HUER,HUNTERSTON,33,spt_
677,HUNE,HUNTERSTON EAST,400,spt_
678,HUNE,HUNTERSTON EAST,132,spt_
679,HUNF,HUNTERSTON FARM,132,spt_
680,HUNF,HUNTERSTON FARM,33,spt_
681,HUNN,HUNTERSTON NORTH,400,spt_
682,HUNN,HUNTERSTON NORTH,220,spt_
683,HUNN,HUNTERSTON NORTH,33,spt_
684,INKE,INVERKEITHING,132,spt_
685,INKE,INVERKEITHING,33,spt_
686,INVB,INVERARNAN BORDER NODE,275,spt_
687,INVR,INVERARNAN,275,spt_
688,INWI,INNERWICK,132,spt_
689,JOHN,JOHNSTONE,132,spt_
690,JOHN,JOHNSTONE,33,spt_
691,JUNA,JUNCTION A,132,spt_
692,JUNB,JUNCTION B,132,spt_
693,JUNV,JUNCTION V,132,spt_
694,KAIM,KAIMES,275,spt_
695,KAIM,KAIMES,33,spt_
696,KEIH,KEITHSHILL,33,spt_
697,KENE,KENNOXHEAD WINDFARM EXTENSION,33,spt_
698,KENN,KENNOXHEAD,132,spt_
699,KENN,KENNOXHEAD,33,spt_
700,KEOO,KENDOON,132,spt_
701,KEOO,KENDOON,11,spt_
702,KIER,KILLERMONT,132,spt_
703,KIER,KILLERMONT,33,spt_
704,KILB,KILBOWIE,132,spt_
705,KILB,KILBOWIE,33,spt_
706,KILB,KILBOWIE,11,spt_
707,KILG,KILGALLIOCH,275,spt_
708,KILG,KILGALLIOCH,33,spt_
709,KILS,KILMARNOCK SOUTH,400,spt_
710,KILS,KILMARNOCK SOUTH,275,spt_
711,KILS,KILMARNOCK SOUTH,132,spt_
712,KILS,KILMARNOCK SOUTH,33,spt_
713,KILT,KILMARNOCK TOWN,275,spt_
714,KILT,KILMARNOCK TOWN,33,spt_
715,KILW,KILWINNING,132,spt_
716,KILW,KILWINNING,33,spt_
717,KINB,KINCARDINE BORDER NODE,400,spt_
718,KINC,KINCARDINE,400,spt_
719,KINC,KINCARDINE,275,spt_
720,KINC,KINCARDINE,33,spt_
721,KINN,KINCARDINE NORTH,400,spt_
722,KINN,KINCARDINE NORTH,275,spt_
723,KNCR,KNOCKCRONAL,33,spt_
724,KNOK,KNOCKODHAR,132,spt_
725,KNOK,KNOCKODHAR,33,spt_
726,KYPE,KYPE MUIR,132,spt_
727,KYPE,KYPE MUIR,33,spt_
728,LAMB,LAMBHILL,400,spt_
729,LAMB,LAMBHILL,275,spt_
730,LAMF,LAMFPR HILL,33,spt_
731,LEGO,LESMAHAGOW,132,spt_
732,LEGO,LESMAHAGOW,33,spt_
733,LETH,LETHANS,132,spt_
734,LETH,LETHANS,33,spt_
735,LEVE,LEVEN,132,spt_
736,LEVE,LEVEN,33,spt_
737,LEVT,LEVEN TEE,132,spt_
738,LING,LIVINGSTON,132,spt_
739,LING,LIVINGSTON,33,spt_
740,LINM,LINNMILL,132,spt_
741,LINM,LINNMILL,33,spt_
742,LNGB,LONGHILL BURN WF,33,spt_
743,LOAN,LONGANNET,275,spt_
744,LOGN,LOCHGOIN,33,spt_
745,LOPA,LONGPARK,33,spt_
746,LORG,LORG,132,spt_
747,LORG,LORG,33,spt_
748,MAHI,MARK HILL,275,spt_
749,MAHI,MARK HILL,132,spt_
750,MAHI,MARK HILL,33,spt_
751,MARM,MARSHALL MEADOWS,132,spt_
752,MAYB,MAYBOLE,132,spt_
753,MAYB,MAYBOLE,33,spt_
754,MAYT,MAYBOLE TEE,132,spt_
755,MEAD,MEADOWHEAD,132,spt_
756,MIDM,MIDDLE MUIR,132,spt_
757,MIDM,MIDDLE MUIR,33,spt_
758,MINN,MINNYGAP,33,spt_
759,MINS,MINSCA,33,spt_
760,MLRG,MILL RIG WIND FARM,33,spt_
761,MOFF,MOFFAT,400,spt_
762,MOFF,MOFFAT,132,spt_
763,MOFF,MOFFAT,33,spt_
764,MONQ,MONQUHILL,33,spt_
765,MOSH,MOSSMORRAN SHELL,132,spt_
766,MOSH,MOSSMORRAN SHELL,11,spt_
767,MOSM,MOSSMORRAN,400,spt_
768,MOSM,MOSSMORRAN,275,spt_
769,MOSM,MOSSMORRAN,132,spt_
770,MOSM,MOSSMORRAN,33,spt_
771,NEAR,NEWARTHILL,275,spt_
772,NEAR,NEWARTHILL,33,spt_
773,NECU,NEW CUMNOCK,275,spt_
774,NECU,NEW CUMNOCK,132,spt_
775,NECU,NEW CUMNOCK,33,spt_
776,NEIL,NEILSTON,400,spt_
777,NEIL,NEILSTON,275,spt_
778,NEIL,NEILSTON,132,spt_
779,NEIL,NEILSTON,33,spt_
780,NETS,NEWTON STEWART,132,spt_
781,NETS,NEWTON STEWART,33,spt_
782,NLEI,NORTH LOWTHER ENERGY INITIATIVE,132,spt_
783,NLEI,NORTH LOWTHER ENERGY INITIATIVE,33,spt_
784,NOKY,NORTH KYLE,132,spt_
785,NOKY,NORTH KYLE,33,spt_
786,OFOA,OLD FOREST OF AE,132,spt_
787,OFOA,OLD FOREST OF AE,33,spt_
788,OHLL,OVERHILL,132,spt_
789,OHLL,OVERHILL,33,spt_
790,PAIS,PAISLEY,132,spt_
791,PAIS,PAISLEY,33,spt_
792,PART,PARTICK,132,spt_
793,PART,PARTICK,33,spt_
794,PENC,PENCLOE,33,spt_
795,POGB,POGBIE,33,spt_
796,POLK,POLKEMMET,33,spt_
797,POOB,PORTOBELLO,275,spt_
798,POOB,PORTOBELLO,33,spt_
799,PORD,PORT DUNDAS,275,spt_
800,PORD,PORT DUNDAS,33,spt_
801,PRST,PRIESTGILL,33,spt_
802,QUAN,QUANTANS HILL,132,spt_
803,QUAN,QUANTANS HILL,33,spt_
804,RAVE,RAVENSCRAIG,33,spt_
805,REDH,REDHOUSE,132,spt_
806,REDH,REDHOUSE,33,spt_
807,REDS,REDSHAW,400,spt_
808,REDS,REDSHAW,132,spt_
809,REDS,REDSHAW,33,spt_
810,ROBP,ROTHES BIOPOWER,33,spt_
811,SACO,SALTCOATS,132,spt_
812,SACO,SALTCOATS,33,spt_
813,SAKN,SANDY KNOWE,132,spt_
814,SAKN,SANDY KNOWE,33,spt_
815,SANQ,SANQUHAR II WIND FARM,132,spt_
816,SANQ,SANQUHAR II WIND FARM,33,spt_
817,SANX,ST ANDREWS CROSS,132,spt_
818,SANX,ST ANDREWS CROSS,33,spt_
819,SCOP,SCOOP HILL WIND FARM,132,spt_
820,SHRG,SHEPHERDS RIG,132,spt_
821,SHRG,SHEPHERDS RIG,33,spt_
822,SHRU,SHRUBHILL,400,spt_
823,SHRU,SHRUBHILL,275,spt_
824,SHRU,SHRUBHILL,33,spt_
825,SIGH,SIGHTHILL,275,spt_
826,SIGH,SIGHTHILL,33,spt_
827,SMEA,SMEATON,400,spt_
828,SMEA,SMEATON,275,spt_
829,SMEA,SMEATON,132,spt_
830,SMEA,SMEATON,33,spt_
831,SNED,SNEDDON LAW,33,spt_
832,SNQR,SANQUHAR,33,spt_
833,SOKY,SOUTH KYLE,132,spt_
834,SOKY,SOUTH KYLE,33,spt_
835,SOLW,SOLWAY BANK,33,spt_
836,SPAV,SPANGO VALLEY,132,spt_
837,SPAV,SPANGO VALLEY,33,spt_
838,SPRB,SPIREBUSH,132,spt_
839,SPRB,SPIREBUSH,33,spt_
840,STCR,STEVEN'S CROFT,33,spt_
841,STHA,STRATHAVEN,400,spt_
842,STHA,STRATHAVEN,275,spt_
843,STHA,STRATHAVEN,33,spt_
844,STIR,STIRLING,132,spt_
845,STIR,STIRLING,33,spt_
846,STLE,STRATHLEVEN,132,spt_
847,STLE,STRATHLEVEN,33,spt_
848,STOC,STRANOCH WIND FARM,132,spt_
849,STOC,STRANOCH WIND FARM,33,spt_
850,STWB,STELLA WEST BORDER NODE,400,spt_
851,TELR,TELFORD ROAD,132,spt_
852,TELR,TELFORD ROAD,33,spt_
853,TODD,TODDLEBURN,33,spt_
854,TONG,TONGLAND,132,spt_
855,TONG,TONGLAND,33,spt_
856,TONG,TONGLAND,11,spt_
857,TORN,TORNESS,400,spt_
858,TORN,TORNESS,132,spt_
859,TRLO,TRALORG,33,spt_
860,TRSN,TROSTON,132,spt_
861,TRSN,TROSTON,33,spt_
862,TWEN,TWENTYSHILLING,33,spt_
863,WESE,WESTERDOD,132,spt_
864,WFIB,WESTFIELD BOUNDARY,400,spt_
865,WFIB,WESTFIELD BOUNDARY,275,spt_
866,WFIE,WESTFIELD,400,spt_
867,WFIE,WESTFIELD,275,spt_
868,WFIE,WESTFIELD,132,spt_
869,WFIE,WESTFIELD,33,spt_
870,WFIE,WESTFIELD,11,spt_
871,WGEO,WEST GEORGE STREET,275,spt_
872,WGEO,WEST GEORGE STREET,33,spt_
873,WHBR,WHITELAW BRAE,33,spt_
874,WHHO,WHITEHOUSE,275,spt_
875,WHHO,WHITEHOUSE,33,spt_
876,WHLL,WHITESIDE HILL,33,spt_
877,WHTB,WHISTLEFIELD BOUNDARY,132,spt_
878,WHTL,WHISTLEFIELD,132,spt_
879,WHTL,WHISTLEFIELD,33,spt_
880,WISH,WISHAW,400,spt_
881,WISH,WISHAW,275,spt_
882,WISH,WISHAW,132,spt_
883,WISH,WISHAW,33,spt_
884,WIYH,WINDYHILL,400,spt_
885,WIYH,WINDYHILL,275,spt_
886,WIYH,WINDYHILL,132,spt_
887,WIYH,WINDYHILL,33,spt_
888,WLEE,WHITELEE,275,spt_
889,WLEE,WHITELEE,33,spt_
890,WLER,WHITELEE REPOWERING,275,spt_
891,WLER,WHITELEE REPOWERING,33,spt_
892,WLEX,WHITELEE EXTENSION,275,spt_
893,WLEX,WHITELEE EXTENSION,33,spt_
894,WNDR,WINDY RIG,33,spt_
895,WNUK,WHITENEUK,132,spt_
896,WNUK,WHITENEUK,33,spt_
897,ABTH,ABERTHAW,132.0,nget
898,ABTH,ABERTHAW,275.0,nget
899,ABHA,ABHAM,132.0,nget
900,ABHA,ABHAM,400.0,nget
901,ALDW,ALDWARKE,33.0,nget
902,ALDW,ALDWARKE,275.0,nget
903,ALST,ALPHA STEEL,33.0,nget
904,ALVE,ALVERDISCOTT,132.0,nget
905,ALVE,ALVERDISCOTT,400.0,nget
906,AMEM,AMERSHAM MAIN,132.0,nget
907,AMEM,AMERSHAM MAIN,400.0,nget
908,AXMI,AXMINSTER,132.0,nget
909,AXMI,AXMINSTER,400.0,nget
910,BACT,BACTON,400.0,nget
911,BAGB,BAGLAN BAY,275.0,nget
912,BARK,BARKING,132.0,nget
913,BARK,BARKING,275.0,nget
914,BARK,BARKING,400.0,nget
915,BARW,BARKING WEST,33.0,nget
916,BEDD,BEDDINGTON,132.0,nget
917,BEDD,BEDDINGTON,275.0,nget
918,BEDD,BEDDINGTON,400.0,nget
919,BEDT,BEDDINGTON TEE,132.0,nget
920,BENR,BENGEWORTH ROAD,132.0,nget
921,BENR,BENGEWORTH ROAD,400.0,nget
922,BESW,BERKSWELL,132.0,nget
923,BESW,BERKSWELL,275.0,nget
924,BICF,BICKER FEN,132.0,nget
925,BICF,BICKER FEN,400.0,nget
926,BIRK,BIRKENHEAD,132.0,nget
927,BIRK,BIRKENHEAD,275.0,nget
928,BISW,BISHOPS WOOD,132.0,nget
929,BISW,BISHOPS WOOD,275.0,nget
930,BLYT,BLYTH,66.0,nget
931,BLYT,BLYTH,132.0,nget
932,BLYT,BLYTH,275.0,nget
933,BLYT,BLYTH,400.0,nget
934,BODE,BODELWYDDAN,400.0,nget
935,BOLN,BOLNEY,132.0,nget
936,BOLN,BOLNEY,400.0,nget
937,BOTW,BOTLEY WOOD,132.0,nget
938,BOTW,BOTLEY WOOD,400.0,nget
939,BRAW,BRADFORD WEST,132.0,nget
940,BRAW,BRADFORD WEST,275.0,nget
941,BRAW,BRADFORD WEST,400.0,nget
942,BRAI,BRAINTREE,132.0,nget
943,BRAI,BRAINTREE,400.0,nget
944,BRFO,BRAMFORD,132.0,nget
945,BRFO,BRAMFORD,400.0,nget
946,BRLE,BRAMLEY,132.0,nget
947,BRLE,BRAMLEY,400.0,nget
948,BRED,BREDBURY,132.0,nget
949,BRED,BREDBURY,275.0,nget
950,BRWA,BRIDGWATER,132.0,nget
951,BRWA,BRIDGWATER,275.0,nget
952,BRWA,BRIDGWATER,400.0,nget
953,BRIM,BRIMSDOWN,132.0,nget
954,BRIM,BRIMSDOWN,275.0,nget
955,BRIM,BRIMSDOWN,400.0,nget
956,BRIN,BRINSWORTH,275.0,nget
957,BRIN,BRINSWORTH,400.0,nget
958,BULL,BULLSLODGE,400.0,nget
959,BURW,BURWELL,132.0,nget
960,BURW,BURWELL,400.0,nget
961,BUSH,BUSHBURY,132.0,nget
962,BUSH,BUSHBURY,275.0,nget
963,BUST,BUSTLEHOLME,132.0,nget
964,BUST,BUSTLEHOLME,275.0,nget
965,BUST,BUSTLEHOLME,400.0,nget
966,CAML,CAMBLESFORTH,66.0,nget
967,CAMA,CAMBRIDGE ARMS,132.0,nget
968,CANT,CANTERBURY,132.0,nget
969,CANT,CANTERBURY,400.0,nget
970,CAPE,CAPENHURST,132.0,nget
971,CAPE,CAPENHURST,275.0,nget
972,CAPE,CAPENHURST,400.0,nget
973,CARE,CARDIFF EAST,132.0,nget
974,CARE,CARDIFF EAST,275.0,nget
975,CARR,CARRINGTON,132.0,nget
976,CARR,CARRINGTON,275.0,nget
977,CARR,CARRINGTON,400.0,nget
978,CEFC,CEFN CROES,132.0,nget
979,CELL,CELLARHEAD,132.0,nget
980,CELL,CELLARHEAD,400.0,nget
981,CHUE,CHAFFORD HUNDRED EAST,400.0,nget
982,CHSI,CHESSINGTON,132.0,nget
983,CHSI,CHESSINGTON,275.0,nget
984,CHTE,CHESTERFIELD,132.0,nget
985,CHTE,CHESTERFIELD,275.0,nget
986,CHTE,CHESTERFIELD,400.0,nget
987,CHIC,CHICKERELL,132.0,nget
988,CHIC,CHICKERELL,400.0,nget
989,CHIL,CHILLING,400.0,nget
990,CILF,CILFYNYDD,275.0,nget
991,CILF,CILFYNYDD,400.0,nget
992,CITR,CITYROAD,132.0,nget
993,CITR,CITYROAD,400.0,nget
994,CLTO,CLACTON,132.0,nget
995,CLEH,CLEVEHILL,400.0,nget
996,CONQ,CONNAHS QUAY,132.0,nget
997,CONQ,CONNAHS QUAY,400.0,nget
998,COSO,CORYTON SOUTH,400.0,nget
999,COTT,COTTAM,400.0,nget
1000,COVE,COVENTRY,132.0,nget
1001,COVE,COVENTRY,275.0,nget
1002,COWT,COWBRIDGE,275.0,nget
1003,COWL,COWLEY,132.0,nget
1004,COWL,COWLEY,400.0,nget
1005,CREB,CREYKE BECK,132.0,nget
1006,CREB,CREYKE BECK,275.0,nget
1007,CREB,CREYKE BECK,400.0,nget
1008,CULJ,CULHAM JET,400.0,nget
1009,DAIN,DAINES,400.0,nget
1010,DAMC,DAMHEAD CREEK,400.0,nget
1011,DIDC,DIDCOT,400.0,nget
1012,DINO,DINORWIG,400.0,nget
1013,DISS,DISS,400.0,nget
1014,DRAK,DRAKELOW,132.0,nget
1015,DRAK,DRAKELOW,275.0,nget
1016,DRAK,DRAKELOW,400.0,nget
1017,DRAX,DRAX,132.0,nget
1018,DRAX,DRAX,400.0,nget
1019,DUNG,DUNGENESS,275.0,nget
1020,DUNG,DUNGENESS,400.0,nget
1021,EALI,EALING,66.0,nget
1022,EALI,EALING,275.0,nget
1023,EACS,EAST ANGLIA COASTAL SUBSTATION,400.0,nget
1024,ECLA,EAST CLAYDON,132.0,nget
1025,ECLA,EAST CLAYDON,400.0,nget
1026,EASO,EATON SOCON,132.0,nget
1027,EASO,EATON SOCON,400.0,nget
1028,EGGB,EGGBOROUGH,400.0,nget
1029,ELLA,ELLAND,132.0,nget
1030,ELLA,ELLAND,275.0,nget
1031,ELST,ELSTREE,132.0,nget
1032,ELST,ELSTREE,275.0,nget
1033,ELST,ELSTREE,400.0,nget
1034,ENDE,ENDERBY,132.0,nget
1035,ENDE,ENDERBY,400.0,nget
1036,EXET,EXETER MAIN,132.0,nget
1037,EXET,EXETER MAIN,400.0,nget
1038,FAWL,FAWLEY,132.0,nget
1039,FAWL,FAWLEY,400.0,nget
1040,FECK,FECKENHAM,66.0,nget
1041,FECK,FECKENHAM,275.0,nget
1042,FECK,FECKENHAM,400.0,nget
1043,FENW,FENWICK TEE,400.0,nget
1044,FERR,FERRYBRIDGE,66.0,nget
1045,FERR,FERRYBRIDGE,132.0,nget
1046,FERR,FERRYBRIDGE,275.0,nget
1047,FERR,FERRYBRIDGE,400.0,nget
1048,FFES,FFESTINIOG,275.0,nget
1049,FIDF,FIDDLERS FERRY,132.0,nget
1050,FIDF,FIDDLERS FERRY,275.0,nget
1051,FLEE,FLEET,132.0,nget
1052,FLEE,FLEET,400.0,nget
1053,FLIB,FLINTSHIRE BRIDGE,400.0,nget
1054,FOUX,FOUR CROSSES,132.0,nget
1055,FOUX,FOUR CROSSES,400.0,nget
1056,FOUR,FOURSTONES,20.5,nget
1057,FOUR,FOURSTONES,33.0,nget
1058,FOUR,FOURSTONES,275.0,nget
1059,FRIS,FRISTON,400.0,nget
1060,FRIN,FRISTON NORTH,400.0,nget
1061,FROD,FRODSHAM,132.0,nget
1062,FROD,FRODSHAM,275.0,nget
1063,FROD,FRODSHAM,400.0,nget
1064,GART,GARFORTH TEE,400.0,nget
1065,GRAI,GRAIN,132.0,nget
1066,GRAI,GRAIN,400.0,nget
1067,GRAW,GRAIN WEST,400.0,nget
1068,GARF,GRAN FACH,132.0,nget
1069,GRAN,GRANGE,66.0,nget
1070,GRTO,GRANGETOWN,66.0,nget
1071,GREN,GRENDON,132.0,nget
1072,GREN,GRENDON,400.0,nget
1073,GRST,GREYSTONES,66.0,nget
1074,GRSA,GREYSTONES A,275.0,nget
1075,GRSB,GREYSTONES B,275.0,nget
1076,GRIW,GRIMSBY WEST,132.0,nget
1077,GRIW,GRIMSBY WEST,400.0,nget
1078,HACK,HACKNEY,66.0,nget
1079,HACK,HACKNEY,132.0,nget
1080,HACK,HACKNEY,275.0,nget
1081,HACK,HACKNEY,400.0,nget
1082,HAMB,HAMBLETON,400.0,nget
1083,HAMH,HAMSHALL,132.0,nget
1084,HAMH,HAMSHALL,275.0,nget
1085,HAMH,HAMSHALL,400.0,nget
1086,HARK,HARKER,132.0,nget
1087,HARK,HARKER,275.0,nget
1088,HARK,HARKER,400.0,nget
1089,HARG,HARKER GIS,132.0,nget
1090,HARG,HARKER GIS,400.0,nget
1091,HATL,HARTLEPOOL,275.0,nget
1092,HARM,HARTMOOR,66.0,nget
1093,HARM,HARTMOOR,275.0,nget
1094,HAWP,HAWTHORN PIT,66.0,nget
1095,HAWP,HAWTHORN PIT,275.0,nget
1096,HAWP,HAWTHORN PIT,400.0,nget
1097,HEDO,HEDON,275.0,nget
1098,HEND,HENDON,132.0,nget
1099,HEYS,HEYSHAM,132.0,nget
1100,HEYS,HEYSHAM,400.0,nget
1101,HIGM,HIGH MARNHAM,275.0,nget
1102,HIGM,HIGH MARNHAM,400.0,nget
1103,HIBU,HIGHBURY,400.0,nget
1104,HINP,HINKLEY POINT,275.0,nget
1105,HINP,HINKLEY POINT,400.0,nget
1106,HUMR,HUMBER REFINERY,33.0,nget
1107,HUMR,HUMBER REFINERY,400.0,nget
1108,HURS,HURST,132.0,nget
1109,HURS,HURST,275.0,nget
1110,HUTT,HUTTON,25.0,nget
1111,HUTT,HUTTON,132.0,nget
1112,HUTT,HUTTON,400.0,nget
1113,IMPP,IMPERIAL PARK,33.0,nget
1114,IMPP,IMPERIAL PARK,400.0,nget
1115,INCE,INCE,132.0,nget
1116,INDQ,INDIAN QUEENS,132.0,nget
1117,INDQ,INDIAN QUEENS,400.0,nget
1118,IROA,IRON ACTON,132.0,nget
1119,IROA,IRON ACTON,275.0,nget
1120,IRON,IRON BRIDGE,132.0,nget
1121,IRON,IRON BRIDGE,400.0,nget
1122,ISLI,ISLINGTON,132.0,nget
1123,IVER,IVER,66.0,nget
1124,IVER,IVER,132.0,nget
1125,IVER,IVER,275.0,nget
